candidate_id,job_role,education_level,years_experience,technical_skill_score,aptitude_score,communication_score,interview_score,internship_experience,projects_count,project_quality_score,certifications_count,certification_prestige_score,competition_awards_count,ats_score,linkedin_profile_score,github_coding_profile_score,relocation_preference,age,gender,selected
1,Sales Executive,High School,3.0,52.1,47.2,66.5,75.4,0,0,36.0,2,16.0,0.0,40.6,5.6,1.7,Yes,21,Male,1
2,Data Analyst,Bachelor's,5.1,55.4,39.3,34.1,44.1,1,3,76.7,2,17.2,0.0,71.2,8.2,6.5,No,31,Male,0
3,Strategy Consultant,Bachelor's,1.0,33.6,39.9,71.1,56.5,0,4,21.5,1,58.5,0.0,46.1,6.8,3.3,No,30,Female,0
4,Sales Executive,Bachelor's,5.7,44.5,56.7,69.2,58.3,1,3,69.6,2,54.5,0.0,50.5,6.0,2.8,No,31,Male,0
5,Software Engineer,Master's,5.9,69.4,47.1,80.1,70.7,1,4,59.2,0,0.0,0.0,55.5,9.2,9.4,Open to Remote,32,Male,0
6,Strategy Consultant,PhD,0.0,43.7,96.6,71.3,67.0,1,3,62.4,3,63.3,0.0,43.0,10.0,2.5,Yes,23,Male,1
7,Sales Executive,Bachelor's,1.0,31.6,72.4,83.8,66.7,1,3,65.6,2,60.7,0.0,32.0,10.0,0.0,No,23,Male,0
8,Sales Executive,High School,2.1,39.1,50.9,74.7,46.3,1,3,53.2,2,26.6,0.0,16.5,6.1,1.6,Yes,33,Male,1
9,Software Engineer,Bachelor's,3.0,63.0,60.1,46.0,79.9,1,3,58.2,1,14.6,0.0,63.4,6.1,5.4,Yes,25,Male,0
10,Data Analyst,High School,3.0,55.9,90.3,52.7,36.4,1,2,41.7,4,5.6,0.0,60.0,9.8,4.7,Yes,21,Male,0
11,Data Analyst,Bachelor's,6.5,69.1,93.7,76.2,85.8,1,1,77.2,2,2.5,0.0,80.2,4.7,4.9,Open to Remote,33,Male,1
12,Strategy Consultant,Master's,0.0,83.4,58.0,81.2,78.8,1,2,63.2,2,27.2,0.0,68.9,6.1,0.0,Yes,23,Female,1
13,Sales Executive,Bachelor's,5.1,65.0,39.1,52.7,57.4,0,1,49.5,4,34.0,1.0,47.3,6.1,0.0,Yes,32,Female,0
14,Strategy Consultant,Master's,1.6,79.1,67.5,51.3,51.7,0,4,94.9,3,29.6,0.0,56.6,6.9,0.0,Yes,37,Male,1
15,Data Analyst,Bachelor's,2.4,56.5,74.5,42.1,36.7,1,5,57.9,3,43.6,0.0,65.6,9.2,0.0,Open to Remote,29,Male,0
16,Software Engineer,Master's,0.7,95.1,57.3,70.9,82.6,0,1,50.0,5,85.9,0.0,85.8,5.6,9.9,Open to Remote,35,Male,1
17,Sales Executive,Bachelor's,3.0,48.4,61.8,49.0,68.7,1,9,100.0,3,24.6,1.0,44.1,5.9,1.3,Yes,30,Female,1
18,Software Engineer,Bachelor's,5.5,84.8,94.3,66.8,84.0,1,4,100.0,4,31.7,1.0,83.4,5.3,7.3,No,39,Female,1
19,Strategy Consultant,Bachelor's,1.0,56.9,50.9,76.0,71.4,1,2,49.9,5,47.8,1.0,52.8,8.9,3.2,Yes,23,Female,1
20,Sales Executive,High School,6.8,39.9,48.3,77.2,50.0,0,2,50.9,0,10.2,0.0,36.8,1.3,2.6,No,29,Female,0
21,Sales Executive,Bachelor's,2.6,55.8,34.2,67.9,57.5,1,2,20.1,2,63.3,0.0,41.2,7.8,2.6,No,33,Male,0
22,Data Analyst,Bachelor's,2.0,72.3,55.5,77.8,83.9,0,4,88.8,2,25.5,0.0,52.4,5.1,7.3,Yes,28,Male,1
23,Strategy Consultant,Bachelor's,2.3,23.5,67.6,71.7,49.8,0,7,49.6,5,68.6,1.0,45.7,5.2,1.7,No,36,Male,0
24,Strategy Consultant,High School,5.9,48.1,61.1,48.3,66.3,1,3,42.7,2,81.2,1.0,75.1,3.0,1.7,Open to Remote,26,Male,0
25,Sales Executive,High School,10.0,58.1,62.8,56.8,39.4,0,3,58.8,8,100.0,0.0,92.3,8.2,2.0,Yes,41,Male,1
26,Software Engineer,Bachelor's,10.5,74.2,67.3,30.3,49.4,0,1,36.6,1,18.8,0.0,54.3,4.9,4.1,Yes,42,Female,0
27,Data Analyst,Bachelor's,5.4,72.0,72.5,78.0,80.8,0,2,18.7,1,13.1,0.0,30.4,6.4,0.4,Open to Remote,31,Male,0
28,Software Engineer,Bachelor's,6.5,58.7,60.4,76.4,88.2,0,1,21.4,1,3.3,0.0,42.9,3.2,2.5,No,32,Female,0
29,Software Engineer,Bachelor's,0.9,73.8,61.8,71.3,69.5,1,3,61.9,4,45.5,0.0,52.5,1.7,8.5,Yes,36,Male,1
30,Sales Executive,Bachelor's,0.0,43.6,49.7,72.9,43.3,1,2,72.0,2,0.0,0.0,56.5,4.6,0.0,Open to Remote,22,Male,0
31,Sales Executive,High School,1.7,41.9,51.3,53.6,71.4,0,4,82.1,2,74.2,0.0,14.6,6.6,0.4,No,21,Female,0
32,Strategy Consultant,PhD,8.6,39.8,78.3,54.2,54.9,1,1,44.8,1,11.5,0.0,71.1,2.9,1.4,Yes,37,Male,0
33,Data Analyst,High School,8.5,78.7,39.1,45.2,63.1,0,4,70.4,1,23.2,1.0,41.7,5.8,8.1,Open to Remote,31,Male,0
34,Data Analyst,Bachelor's,6.0,70.2,72.3,59.3,63.0,1,4,79.4,3,41.9,1.0,63.7,8.8,6.5,Yes,28,Male,1
35,Data Analyst,Bachelor's,1.7,68.7,55.0,80.8,70.5,1,3,82.5,2,5.5,1.0,54.8,0.5,5.4,Open to Remote,29,Female,0
36,Software Engineer,Bachelor's,0.0,100.0,59.9,75.8,72.8,1,4,76.1,2,49.5,1.0,51.7,4.1,7.9,Yes,21,Male,0
37,Software Engineer,Bachelor's,0.7,77.1,41.6,47.7,83.3,1,2,57.9,0,24.9,0.0,86.1,5.2,10.0,Open to Remote,28,Female,0
38,Data Analyst,Master's,0.0,83.0,62.6,26.5,71.4,0,2,60.6,1,17.0,0.0,51.8,5.1,2.8,Open to Remote,24,Other,0
39,Software Engineer,Bachelor's,2.8,74.1,69.2,37.5,81.0,1,1,66.4,2,37.1,1.0,39.5,8.1,10.0,Open to Remote,35,Female,0
40,Sales Executive,Bachelor's,1.7,39.7,61.9,92.8,55.5,1,4,31.3,2,27.8,0.0,60.6,6.1,1.0,No,35,Male,0
41,Data Analyst,Master's,1.7,49.1,50.2,63.5,32.6,1,2,47.0,4,43.2,0.0,69.9,4.9,4.8,No,32,Female,0
42,Strategy Consultant,Master's,2.1,53.6,78.1,64.7,61.3,1,5,73.3,4,30.1,3.0,49.5,5.8,2.4,No,31,Male,0
43,Sales Executive,High School,3.0,5.0,72.1,68.6,77.6,1,4,11.4,4,45.9,0.0,45.0,8.0,0.0,No,21,Female,1
44,Data Analyst,Bachelor's,7.4,69.1,60.6,48.7,55.5,0,6,93.2,2,37.9,0.0,76.6,8.8,2.7,No,33,Male,1
45,Strategy Consultant,Master's,10.5,54.7,72.0,51.9,71.5,1,1,61.8,2,13.0,1.0,49.5,6.5,1.9,Open to Remote,33,Male,0
46,Strategy Consultant,Master's,7.3,46.7,41.0,100.0,51.3,1,2,11.0,2,35.3,0.0,46.8,9.6,2.0,No,36,Male,0
47,Data Analyst,Bachelor's,1.8,63.6,54.5,85.8,58.7,0,4,55.6,2,0.0,0.0,71.7,5.7,6.3,No,42,Female,0
48,Software Engineer,Bachelor's,0.0,51.2,69.1,42.7,52.6,1,4,52.5,1,47.4,0.0,49.9,3.0,8.6,No,21,Female,0
49,Sales Executive,Bachelor's,2.1,65.8,69.3,48.7,86.2,0,3,41.7,4,19.0,0.0,41.0,9.2,5.4,Yes,27,Male,0
50,Software Engineer,Bachelor's,3.0,64.9,56.0,57.5,72.8,1,5,56.0,0,0.0,0.0,56.2,5.5,5.6,Yes,25,Male,0
