candidate_id,job_role,education_level,years_experience,technical_skill_score,aptitude_score,communication_score,interview_score,internship_experience,projects_count,project_quality_score,certifications_count,certification_prestige_score,competition_awards_count,ats_score,linkedin_profile_score,github_coding_profile_score,relocation_preference,age,gender,selected,selection_probability,hiring_score,rank_in_role,role_applicant_count,percentile_in_role
1,Sales Executive,High School,3.0,52.1,47.2,66.5,75.4,0,0,36.0,2,16.0,0.0,40.6,5.6,1.7,Yes,21,Male,1,0.27,27.0,582,981,40.8
2,Data Analyst,Bachelor's,5.1,55.4,39.3,34.1,44.1,1,3,76.7,2,17.2,0.0,71.2,8.2,6.5,No,31,Male,0,0.1253,12.5,743,994,25.2
3,Strategy Consultant,Bachelor's,1.0,33.6,39.9,71.1,56.5,0,4,21.5,1,58.5,0.0,46.1,6.8,3.3,No,30,Female,0,0.0507,5.1,750,804,6.2
4,Sales Executive,Bachelor's,5.7,44.5,56.7,69.2,58.3,1,3,69.6,2,54.5,0.0,50.5,6.0,2.8,No,31,Male,0,0.3451,34.5,468,981,52.3
5,Software Engineer,Master's,5.9,69.4,47.1,80.1,70.7,1,4,59.2,0,0.0,0.0,55.5,9.2,9.4,Open to Remote,32,Male,0,0.701,70.1,52,1221,95.8
6,Strategy Consultant,PhD,0.0,43.7,96.6,71.3,67.0,1,3,62.4,3,63.3,0.0,43.0,10.0,2.5,Yes,23,Male,1,0.5365,53.6,68,804,91.7
7,Sales Executive,Bachelor's,1.0,31.6,72.4,83.8,66.7,1,3,65.6,2,60.7,0.0,32.0,10.0,0.0,No,23,Male,0,0.4708,47.1,293,981,70.1
8,Sales Executive,High School,2.1,39.1,50.9,74.7,46.3,1,3,53.2,2,26.6,0.0,16.5,6.1,1.6,Yes,33,Male,1,0.3029,30.3,531,981,46.0
9,Software Engineer,Bachelor's,3.0,63.0,60.1,46.0,79.9,1,3,58.2,1,14.6,0.0,63.4,6.1,5.4,Yes,25,Male,0,0.1722,17.2,707,1221,42.1
10,Data Analyst,High School,3.0,55.9,90.3,52.7,36.4,1,2,41.7,4,5.6,0.0,60.0,9.8,4.7,Yes,21,Male,0,0.1194,11.9,770,994,22.4
11,Data Analyst,Bachelor's,6.5,69.1,93.7,76.2,85.8,1,1,77.2,2,2.5,0.0,80.2,4.7,4.9,Open to Remote,33,Male,1,0.7123,71.2,30,994,97.0
12,Strategy Consultant,Master's,0.0,83.4,58.0,81.2,78.8,1,2,63.2,2,27.2,0.0,68.9,6.1,0.0,Yes,23,Female,1,0.6242,62.4,34,804,95.9
13,Sales Executive,Bachelor's,5.1,65.0,39.1,52.7,57.4,0,1,49.5,4,34.0,1.0,47.3,6.1,0.0,Yes,32,Female,0,0.2216,22.2,666,981,32.0
14,Strategy Consultant,Master's,1.6,79.1,67.5,51.3,51.7,0,4,94.9,3,29.6,0.0,56.6,6.9,0.0,Yes,37,Male,1,0.4443,44.4,111,804,86.3
15,Data Analyst,Bachelor's,2.4,56.5,74.5,42.1,36.7,1,5,57.9,3,43.6,0.0,65.6,9.2,0.0,Open to Remote,29,Male,0,0.1041,10.4,823,994,16.9
16,Software Engineer,Master's,0.7,95.1,57.3,70.9,82.6,0,1,50.0,5,85.9,0.0,85.8,5.6,9.9,Open to Remote,35,Male,1,0.7378,73.8,30,1221,97.6
17,Sales Executive,Bachelor's,3.0,48.4,61.8,49.0,68.7,1,9,100.0,3,24.6,1.0,44.1,5.9,1.3,Yes,30,Female,1,0.3237,32.4,493,981,49.8
18,Software Engineer,Bachelor's,5.5,84.8,94.3,66.8,84.0,1,4,100.0,4,31.7,1.0,83.4,5.3,7.3,No,39,Female,1,0.7907,79.1,2,1221,99.9
19,Strategy Consultant,Bachelor's,1.0,56.9,50.9,76.0,71.4,1,2,49.9,5,47.8,1.0,52.8,8.9,3.2,Yes,23,Female,1,0.3171,31.7,194,804,75.9
20,Sales Executive,High School,6.8,39.9,48.3,77.2,50.0,0,2,50.9,0,10.2,0.0,36.8,1.3,2.6,No,29,Female,0,0.1434,14.3,815,981,16.9
21,Sales Executive,Bachelor's,2.6,55.8,34.2,67.9,57.5,1,2,20.1,2,63.3,0.0,41.2,7.8,2.6,No,33,Male,0,0.1061,10.6,897,981,8.6
22,Data Analyst,Bachelor's,2.0,72.3,55.5,77.8,83.9,0,4,88.8,2,25.5,0.0,52.4,5.1,7.3,Yes,28,Male,1,0.6808,68.1,53,994,94.8
