candidate_id,job_role,hiring_score,rank_in_role,role_applicant_count,percentile_in_role,selected
1779,Data Analyst,80.4,1,994,100.0,1
2481,Data Analyst,79.8,2,994,99.9,1
1112,Data Analyst,78.1,3,994,99.8,1
3655,Data Analyst,77.3,4,994,99.7,1
3019,Data Analyst,75.7,5,994,99.6,1
1080,Data Analyst,75.6,6,994,99.5,1
2699,Data Analyst,75.5,7,994,99.3,1
3298,Data Analyst,75.5,7,994,99.3,1
3789,Data Analyst,75.5,7,994,99.3,1
142,Data Analyst,75.4,10,994,99.0,1
1827,Data Analyst,75.4,10,994,99.0,1
2313,Data Analyst,75.4,10,994,99.0,1
149,Data Analyst,75.3,13,994,98.8,0
2260,Data Analyst,75.1,14,994,98.6,1
2371,Data Analyst,75.1,14,994,98.6,0
113,Data Analyst,74.4,16,994,98.5,1
3230,Data Analyst,74.3,17,994,98.4,1
3525,Data Analyst,74.2,18,994,98.2,1
3720,Data Analyst,74.2,18,994,98.2,1
3909,Data Analyst,74.1,20,994,98.1,1
1073,Data Analyst,73.8,21,994,98.0,1
3694,Data Analyst,73.7,22,994,97.9,1
3140,Data Analyst,72.9,23,994,97.8,1
3755,Data Analyst,72.8,24,994,97.7,1
2240,Data Analyst,72.7,25,994,97.6,1
177,Data Analyst,72.4,26,994,97.5,1
3834,Data Analyst,71.8,27,994,97.4,1
34,Data Analyst,71.6,28,994,97.3,1
1625,Data Analyst,71.4,29,994,97.2,1
11,Data Analyst,71.2,30,994,97.0,1
2029,Data Analyst,71.2,30,994,97.0,1
3407,Data Analyst,71.1,32,994,96.9,1
2471,Data Analyst,71.0,33,994,96.8,1
2245,Data Analyst,70.5,34,994,96.7,1
2281,Data Analyst,70.3,35,994,96.6,1
306,Data Analyst,70.1,36,994,96.5,1
2589,Data Analyst,70.0,37,994,96.4,1
2552,Data Analyst,69.8,38,994,96.2,1
2749,Data Analyst,69.8,38,994,96.2,1
2243,Data Analyst,69.6,40,994,96.1,1
3687,Data Analyst,69.5,41,994,96.0,1
1333,Data Analyst,69.3,42,994,95.9,1
